Event,Year,Team,Country,City,Sport,Age,Gender,Division,Seeding,Result,Games,Wins,Goals Scored,Goals Received,Offence Time,Offence Goals,Defence Time,Defence Goals,TOs,Spirit TOs,R: Rules,R: Fouls,R: Fair,R: Pos,R: Comm,R: Total,G: Rules,G: Fouls,G: Fair,G: Pos,G: Comm,G: Total
2019-WU24UC,2019,Great Britain,GBR,,Ultimate,U24/U23,Women,U-U24-W,,,,,,,,,,,,,2.00,1.90,2.00,2.60,2.30,10.80,,,,,,
2019-WU24UC,2019,Ireland,IRL,,Ultimate,U24/U23,Women,U-U24-W,,,,,,,,,,,,,1.90,1.70,2.30,2.30,2.30,10.50,,,,,,
2019-WU24UC,2019,Canada,CAN,,Ultimate,U24/U23,Women,U-U24-W,,,,,,,,,,,,,1.90,1.80,2.30,2.20,2.10,10.30,,,,,,
2019-WU24UC,2019,Italy,ITA,,Ultimate,U24/U23,Women,U-U24-W,,,,,,,,,,,,,2.00,2.00,2.10,1.90,2.00,10.00,,,,,,
2019-WU24UC,2019,United States of America,USA,,Ultimate,U24/U23,Women,U-U24-W,,,,,,,,,,,,,1.90,1.80,2.10,2.20,2.00,10.00,,,,,,
2019-WU24UC,2019,Germany,GER,,Ultimate,U24/U23,Women,U-U24-W,,,,,,,,,,,,,2.00,1.80,1.90,2.20,1.90,9.80,,,,,,
2019-WU24UC,2019,Colombia,COL,,Ultimate,U24/U23,Women,U-U24-W,,,,,,,,,,,,,1.60,1.60,2.20,2.20,2.10,9.70,,,,,,
2019-WU24UC,2019,South Africa,RSA,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.18,2.18,2.36,3.27,2.36,12.35,,,,,,
2019-WU24UC,2019,Hong Kong,HKG,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,1.78,2.00,2.33,2.89,2.67,11.67,,,,,,
2019-WU24UC,2019,Germany,GER,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.00,2.33,2.33,2.67,2.33,11.66,,,,,,
2019-WU24UC,2019,United States of America,USA,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.00,2.30,2.30,2.60,2.40,11.60,,,,,,
2019-WU24UC,2019,Italy,ITA,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.00,2.10,2.50,2.30,2.40,11.30,,,,,,
2019-WU24UC,2019,Mexico,MEX,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.00,2.00,2.38,2.63,2.25,11.26,,,,,,
2019-WU24UC,2019,Netherlands,NED,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.00,2.10,2.40,2.20,2.50,11.20,,,,,,
2019-WU24UC,2019,Colombia,COL,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.11,1.89,2.11,2.44,2.44,10.99,,,,,,
2019-WU24UC,2019,Japan,JPN,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,1.90,2.00,2.40,2.60,2.00,10.90,,,,,,
2019-WU24UC,2019,Ireland,IRL,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.09,1.91,2.36,2.36,2.09,10.81,,,,,,
2019-WU24UC,2019,Canada,CAN,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.00,2.10,2.40,2.00,2.20,10.70,,,,,,
2019-WU24UC,2019,Singapore,SGP,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,1.45,1.91,2.18,2.73,2.27,10.54,,,,,,
2019-WU24UC,2019,Spain,ESP,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,1.80,2.10,2.10,2.20,2.20,10.40,,,,,,
2019-WU24UC,2019,Czech Republic,CZE,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.00,1.89,2.22,2.11,2.11,10.33,,,,,,
2019-WU24UC,2019,France,FRA,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,1.89,1.78,2.11,2.11,2.44,10.33,,,,,,
2019-WU24UC,2019,Sweden,SWE,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.00,2.11,2.11,1.67,2.22,10.11,,,,,,
2019-WU24UC,2019,Australia,AUS,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,1.64,1.82,2.09,2.27,2.27,10.09,,,,,,
2019-WU24UC,2019,Poland,POL,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,2.00,2.09,1.82,2.09,2.09,10.09,,,,,,
2019-WU24UC,2019,Latvia,LAT,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,1.90,1.90,2.00,1.90,2.20,9.90,,,,,,
2019-WU24UC,2019,Great Britain,GBR,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,1.90,1.70,1.90,2.10,2.10,9.70,,,,,,
2019-WU24UC,2019,China,CHN,,Ultimate,U24/U23,Mixed,U-U24-X,,,,,,,,,,,,,1.33,1.89,2.00,2.33,2.11,9.66,,,,,,
2019-AOUGC,2019,Australia,AUS,,Ultimate,All,Open/Men,U-A-M,,,,,,,,,,,,,2.00,1.88,2.25,2.50,2.25,10.88,,,,,,
2019-AOUGC,2019,Malaysia,MAS,,Ultimate,All,Open/Men,U-A-M,,,,,,,,,,,,,1.83,1.67,2.00,2.50,2.67,10.67,,,,,,
2019-AOUGC,2019,Japan,JPN,,Ultimate,All,Open/Men,U-A-M,,,,,,,,,,,,,1.88,2.00,2.38,2.38,2.00,10.64,,,,,,
2019-AOUGC,2019,Chinese Taipei,TPE,,Ultimate,All,Open/Men,U-A-M,,,,,,,,,,,,,1.86,1.86,2.14,2.43,2.14,10.43,,,,,,
2019-AOUGC,2019,Hong Kong,HKG,,Ultimate,All,Open/Men,U-A-M,,,,,,,,,,,,,2.00,1.67,2.00,2.33,2.17,10.17,,,,,,
2019-AOUGC,2019,China,CHN,,Ultimate,All,Open/Men,U-A-M,,,,,,,,,,,,,1.67,1.67,1.83,2.33,2.17,9.67,,,,,,
2019-AOUGC,2019,Philippines,PHI,,Ultimate,All,Open/Men,U-A-M,,,,,,,,,,,,,1.86,1.71,2.00,1.43,2.29,9.29,,,,,,
2019-AOUGC,2019,Malaysia,MAS,,Ultimate,All,Women,U-A-W,,,,,,,,,,,,,2.00,1.83,1.83,2.17,2.50,10.33,,,,,,
2019-AOUGC,2019,China,CHN,,Ultimate,All,Women,U-A-W,,,,,,,,,,,,,1.83,1.83,2.17,2.33,2.00,10.16,,,,,,
2019-AOUGC,2019,Australia,AUS,,Ultimate,All,Women,U-A-W,,,,,,,,,,,,,2.00,1.88,2.00,2.00,2.13,10.01,,,,,,
2019-AOUGC,2019,Japan,JPN,,Ultimate,All,Women,U-A-W,,,,,,,,,,,,,2.00,2.00,2.00,2.00,2.00,10.00,,,,,,
2019-AOUGC,2019,Chinese Taipei,TPE,,Ultimate,All,Women,U-A-W,,,,,,,,,,,,,1.71,1.86,2.00,2.00,2.00,9.57,,,,,,
2019-AOUGC,2019,Philippines,PHI,,Ultimate,All,Women,U-A-W,,,,,,,,,,,,,1.57,2.00,1.71,2.00,1.86,9.14,,,,,,
2019-AOUGC,2019,Hong Kong,HKG,,Ultimate,All,Women,U-A-W,,,,,,,,,,,,,1.67,1.83,1.83,1.50,2.00,8.83,,,,,,
2019-AOUGC,2019,Malaysia,MAS,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,2.33,2.17,2.67,2.67,2.50,12.34,,,,,,
2019-AOUGC,2019,Philippines,PHI,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,2.43,2.14,2.29,2.43,2.29,11.58,,,,,,
2019-AOUGC,2019,Australia,AUS,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,2.14,2.00,2.29,2.14,2.71,11.28,,,,,,
2019-AOUGC,2019,New Zealand,NZL,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,2.00,2.14,2.14,2.57,2.29,11.14,,,,,,
2019-AOUGC,2019,Thailand,THA,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,2.00,2.00,2.33,2.50,2.17,11.00,,,,,,
2019-AOUGC,2019,Chinese Taipei,TPE,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,1.83,2.00,2.00,2.50,2.00,10.33,,,,,,
2019-AOUGC,2019,India Mixed 2,IND,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,2.00,2.00,2.00,2.29,2.00,10.29,,,,,,
2019-AOUGC,2019,India,IND,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,1.86,1.57,2.14,2.29,2.14,10.00,,,,,,
2019-AOUGC,2019,South Korea,KOR,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,2.00,1.80,2.20,2.00,2.00,10.00,,,,,,
2019-AOUGC,2019,Japan,JPN,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,1.88,1.75,1.88,2.25,2.13,9.89,,,,,,
2019-AOUGC,2019,China,CHN,,Ultimate,All,Mixed,U-A-X,,,,,,,,,,,,,1.63,1.75,1.88,2.13,2.13,9.52,,,,,,
2019-AOUGC,2019,United States of America,USA,,Guts,All,Open/Men,G-A-M,,,,,,,,,,,,,2.50,2.00,3.25,2.50,3.00,13.25,,,,,,
2019-AOUGC,2019,Japan Guts 2,JPN,,Guts,All,Open/Men,G-A-M,,,,,,,,,,,,,2.25,2.00,2.50,3.00,2.25,12.00,,,,,,
2019-AOUGC,2019,United States of America Guts 2,USA,,Guts,All,Open/Men,G-A-M,,,,,,,,,,,,,2.25,2.00,2.50,2.50,2.50,11.75,,,,,,
2019-AOUGC,2019,Japan,JPN,,Guts,All,Open/Men,G-A-M,,,,,,,,,,,,,2.25,2.00,2.25,2.75,2.25,11.50,,,,,,
2019-AOUGC,2019,Chinese Taipei,TPE,,Guts,All,Open/Men,G-A-M,,,,,,,,,,,,,1.75,2.00,2.25,2.00,2.25,10.25,,,,,,
2019-PAUCC,2019,Get Off My Lawn,CAN,,Ultimate,Grand Master,Open/Men,U-GM-M,,,6,1,41,88,,,,,,,2.00,2.50,2.50,2.67,2.50,12.17,,,,,,
2019-PAUCC,2019,Grandmaster Flash,USA,,Ultimate,Grand Master,Open/Men,U-GM-M,,,6,2,53,82,,,,,,,2.00,2.00,2.50,2.33,2.17,11.00,,,,,,
2019-PAUCC,2019,Johnny Walker,USA,,Ultimate,Grand Master,Open/Men,U-GM-M,,,6,6,90,36,,,,,,,2.00,2.00,2.17,1.83,2.17,10.17,,,,,,
2019-PAUCC,2019,Reckon,USA,,Ultimate,Grand Master,Open/Men,U-GM-M,,,6,3,71,61,,,,,,,1.83,2.17,2.50,2.33,2.33,11.16,,,,,,
