Event,Year,Team,Country,City,Sport,Age,Gender,Division,Seeding,Result,Games,Wins,Goals Scored,Goals Received,Offence Time,Offence Goals,Defence Time,Defence Goals,TOs,Spirit TOs,R: Rules,R: Fouls,R: Fair,R: Pos,R: Comm,R: Total,G: Rules,G: Fouls,G: Fair,G: Pos,G: Comm,G: Total
2019-PAUCC,2019,Condor,MEX,,Ultimate,All,Open/Men,U-A-M,,,8,1,66,113,,,,,,,1.88,2.00,2.50,2.38,2.25,11.01,,,,,,
2019-PAUCC,2019,Discountry,COL,,Ultimate,All,Open/Men,U-A-M,,,9,4,108,117,,,,,,,1.67,1.78,1.89,2.33,2.11,9.78,,,,,,
2019-PAUCC,2019,Domino,DOM,,Ultimate,All,Open/Men,U-A-M,,,8,3,88,102,,,,,,,2.00,1.63,2.25,2.00,2.38,10.26,,,,,,
2019-PAUCC,2019,Euforia,COL,,Ultimate,All,Open/Men,U-A-M,,,8,0,61,118,,,,,,,1.88,1.88,2.38,2.00,2.38,10.52,,,,,,
2019-PAUCC,2019,EVOLUTION,COL,,Ultimate,All,Open/Men,U-A-M,,,8,5,113,82,,,,,,,2.00,1.75,2.50,2.50,2.63,11.38,,,,,,
2019-PAUCC,2019,Ghost Train,USA,,Ultimate,All,Open/Men,U-A-M,,,8,2,75,112,,,,,,,2.13,2.38,2.50,3.50,2.75,13.26,,,,,,
2019-PAUCC,2019,Houndd,CAN,,Ultimate,All,Open/Men,U-A-M,,,9,5,118,94,,,,,,,2.00,2.00,2.00,2.22,2.11,10.33,,,,,,
2019-PAUCC,2019,Makawua,COL,,Ultimate,All,Open/Men,U-A-M,,,8,3,101,95,,,,,,,2.25,2.25,2.13,2.75,2.63,12.01,,,,,,
2019-PAUCC,2019,Phoenix,CAN,,Ultimate,All,Open/Men,U-A-M,,,9,7,128,88,,,,,,,1.89,1.78,2.00,1.89,2.00,9.56,,,,,,
2019-PAUCC,2019,Quake,CAN,,Ultimate,All,Open/Men,U-A-M,,,8,5,106,90,,,,,,,2.13,1.50,2.25,2.25,2.25,10.38,,,,,,
2019-PAUCC,2019,UpRoar,USA,,Ultimate,All,Open/Men,U-A-M,,,8,1,75,118,,,,,,,2.00,2.38,2.13,2.63,2.00,11.14,,,,,,
2019-PAUCC,2019,Warao,VEN,,Ultimate,All,Open/Men,U-A-M,,,9,6,121,109,,,,,,,1.67,1.44,1.89,2.00,2.00,9.00,,,,,,
2019-PAUCC,2019,Ávalon,MEX,,Ultimate,All,Mixed,U-A-X,,,9,4,103,108,,,,,,,2.00,1.67,2.22,2.22,2.22,10.33,,,,,,
2019-PAUCC,2019,Bullets Ultimate,COL,,Ultimate,All,Mixed,U-A-X,,,8,3,93,99,,,,,,,1.50,1.25,1.88,1.88,1.88,8.39,,,,,,
2019-PAUCC,2019,Bunny Thugs,CAN,,Ultimate,All,Mixed,U-A-X,,,8,5,112,91,,,,,,,2.13,2.13,2.50,2.50,2.50,11.76,,,,,,
2019-PAUCC,2019,Charrúa,URU,,Ultimate,All,Mixed,U-A-X,,,9,4,116,120,,,,,,,1.78,2.11,2.33,2.22,2.00,10.44,,,,,,
2019-PAUCC,2019,Chile Mixed,CHI,,Ultimate,All,Mixed,U-A-X,,,8,1,61,114,,,,,,,1.88,2.38,2.25,2.63,2.13,11.27,,,,,,
2019-PAUCC,2019,D-Crash,COL,,Ultimate,All,Mixed,U-A-X,,,8,3,86,104,,,,,,,1.75,2.00,2.25,2.50,2.13,10.63,,,,,,
2019-PAUCC,2019,Fire,COL,,Ultimate,All,Mixed,U-A-X,,,9,0,54,135,,,,,,,1.89,2.11,2.33,2.00,2.00,10.33,,,,,,
2019-PAUCC,2019,Halal,COL,,Ultimate,All,Mixed,U-A-X,,,8,1,74,116,,,,,,,2.00,2.13,2.38,3.13,2.38,12.02,,,,,,
2019-PAUCC,2019,Hammers Ultimate Buenos Aires,ARG,Buenos Aires,Ultimate,All,Mixed,U-A-X,,,9,2,91,110,,,,,,,1.67,2.00,1.78,2.33,2.22,10.00,,,,,,
2019-PAUCC,2019,Jughandle,USA,,Ultimate,All,Mixed,U-A-X,,,9,8,127,85,,,,,,,1.89,2.22,2.22,2.22,2.22,10.77,,,,,,
2019-PAUCC,2019,Macondo Ultimate,COL,,Ultimate,All,Mixed,U-A-X,,,9,7,122,94,,,,,,,1.56,1.67,1.67,1.89,1.89,8.68,,,,,,
2019-PAUCC,2019,Mischief,USA,,Ultimate,All,Mixed,U-A-X,,,9,8,132,84,,,,,,,1.89,1.78,2.22,2.11,2.44,10.44,,,,,,
2019-PAUCC,2019,NGF LocoUltimate,BRA,,Ultimate,All,Mixed,U-A-X,,,9,5,105,109,,,,,,,2.00,2.00,2.22,2.22,2.11,10.55,,,,,,
2019-PAUCC,2019,No Touching!,USA,,Ultimate,All,Mixed,U-A-X,,,10,8,142,81,,,,,,,2.00,2.10,2.00,2.40,2.10,10.60,,,,,,
2019-PAUCC,2019,Osos Perezosos,CRC,,Ultimate,All,Mixed,U-A-X,,,8,2,82,110,,,,,,,2.00,2.00,2.25,2.50,2.13,10.88,,,,,,
2019-PAUCC,2019,Public Enemy,USA,,Ultimate,All,Mixed,U-A-X,,,10,10,150,76,,,,,,,2.00,2.10,2.50,2.30,2.00,10.90,,,,,,
2019-PAUCC,2019,Slash,MEX,,Ultimate,All,Mixed,U-A-X,,,9,3,104,122,,,,,,,1.89,2.00,2.00,2.22,2.11,10.22,,,,,,
2019-PAUCC,2019,Steamboat,USA,,Ultimate,All,Mixed,U-A-X,,,8,6,112,77,,,,,,,1.88,2.00,2.00,2.25,2.00,10.13,,,,,,
2019-PAUCC,2019,Voltaje U.C. Mixed,COL,,Ultimate,All,Mixed,U-A-X,,,9,3,91,122,,,,,,,1.67,2.00,2.22,2.56,1.89,10.34,,,,,,
2019-PAUCC,2019,AEROSOUL,COL,,Ultimate,All,Women,U-A-W,,,9,7,120,91,,,,,,,1.89,2.00,2.22,2.33,2.22,10.66,,,,,,
2019-PAUCC,2019,Bamboo,COL,,Ultimate,All,Women,U-A-W,,,8,5,104,81,,,,,,,1.88,2.00,2.00,2.00,1.88,9.76,,,,,,
2019-PAUCC,2019,La Séptima,COL,,Ultimate,All,Women,U-A-W,,,8,4,85,98,,,,,,,1.63,1.75,2.25,2.38,2.00,10.01,,,,,,
2019-PAUCC,2019,Mamajuana,DOM,,Ultimate,All,Women,U-A-W,,,8,3,78,94,,,,,,,1.75,1.63,1.75,1.88,2.13,9.14,,,,,,
2019-PAUCC,2019,Panama,PAN,,Ultimate,All,Women,U-A-W,,,8,1,54,111,,,,,,,1.50,1.88,2.25,2.25,1.88,9.76,,,,,,
2019-PAUCC,2019,PPF,CAN,,Ultimate,All,Women,U-A-W,,,9,5,105,94,,,,,,,1.89,1.56,2.22,2.11,2.00,9.78,,,,,,
2019-PAUCC,2019,Qub,CAN,,Ultimate,All,Women,U-A-W,,,8,4,98,87,,,,,,,1.88,1.75,2.00,2.50,1.88,10.01,,,,,,
2019-PAUCC,2019,REVOLUTION,COL,,Ultimate,All,Women,U-A-W,,,8,8,120,43,,,,,,,2.00,2.13,2.13,2.38,2.00,10.64,,,,,,
2019-PAUCC,2019,Spanglish,VEN,,Ultimate,All,Women,U-A-W,,,8,2,62,100,,,,,,,1.63,2.00,2.00,1.88,2.00,9.51,,,,,,
2019-PAUCC,2019,Stella,CAN,,Ultimate,All,Women,U-A-W,,,9,6,122,79,,,,,,,2.00,1.67,2.00,2.22,2.00,9.89,,,,,,
2019-PAUCC,2019,Thrift Shop,CAN,,Ultimate,All,Women,U-A-W,,,8,0,47,119,,,,,,,2.00,2.13,2.00,2.50,2.00,10.63,,,,,,
2019-PAUCC,2019,Voltaje U.C. Women’s,COL,,Ultimate,All,Women,U-A-W,,,8,3,76,96,,,,,,,1.88,1.63,1.75,2.00,2.13,9.39,,,,,,
2019-PAUCC,2019,Wicked,USA,,Ultimate,All,Women,U-A-W,,,9,6,122,100,,,,,,,1.89,1.78,2.00,2.22,2.22,10.11,,,,,,
2022-WMUCC,2022,Amsterdam Ultimate Club,NED,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,2.00,1.63,2.00,2.13,2.25,10.00,,,,,,
2022-WMUCC,2022,Beefire,ITA,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,2.00,2.00,2.00,2.22,2.11,10.33,,,,,,
2022-WMUCC,2022,Berta,CAN,,Ultimate,Master,Women,U-M-W,,,10,,,,,,,,,,1.90,1.90,2.10,2.60,2.30,10.80,,,,,,
2022-WMUCC,2022,"Big Fish, Little Fish",GBR,,Ultimate,Grand Master,Mixed,U-G-X,,,9,,,,,,,,,,1.78,1.78,1.78,2.33,2.00,9.67,,,,,,
2022-WMUCC,2022,Birds of Paradise,INA,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,2.11,1.78,2.22,2.11,2.11,10.33,,,,,,
2022-WMUCC,2022,Black Cans and Highlands,USA,,Ultimate,Grand Master,Open/Men,U-G-M,,,9,,,,,,,,,,1.78,1.89,2.00,1.89,1.78,9.33,,,,,,
2022-WMUCC,2022,BoD,CAN,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,1.78,2.00,2.00,2.44,2.33,10.56,,,,,,
2022-WMUCC,2022,Boneyard,USA,,Ultimate,Master,Open/Men,U-M-M,,,10,,,,,,,,,,2.00,1.80,2.60,2.50,2.20,11.10,,,,,,
2022-WMUCC,2022,Carbon,CAN,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,2.00,2.00,2.11,2.56,2.22,10.89,,,,,,
2022-WMUCC,2022,Chilli Legends,RSA,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,2.00,1.67,2.22,2.33,2.22,10.44,,,,,,
2022-WMUCC,2022,Club Comunidad el Oso,COL,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,1.44,1.78,2.00,2.22,2.11,9.56,,,,,,
2022-WMUCC,2022,Cur$!ve,CAN,,Ultimate,Grand Master,Mixed,U-G-X,,,9,,,,,,,,,,1.89,2.00,2.44,2.11,2.11,10.56,,,,,,
2022-WMUCC,2022,Dead Circus,CAN,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,1.89,2.11,2.33,2.22,2.44,11.00,,,,,,
2022-WMUCC,2022,Descent,USA,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,2.00,2.22,2.33,2.44,2.22,11.22,,,,,,
2022-WMUCC,2022,Devon,GBR,,Ultimate,Master,Open/Men,U-M-M,,,8,,,,,,,,,,1.88,2.25,2.38,2.38,2.25,11.13,,,,,,
2022-WMUCC,2022,Disctèrics,ESP,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,2.11,2.22,2.33,2.44,2.22,11.33,,,,,,
2022-WMUCC,2022,DJ Dahlem,GER,,Ultimate,Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,2.00,2.10,2.50,2.10,2.20,10.90,,,,,,
2022-WMUCC,2022,Endless Sunset,USA,,Ultimate,Grand Master,Mixed,U-G-X,,,9,,,,,,,,,,2.00,2.00,2.00,2.11,2.00,10.11,,,,,,
2022-WMUCC,2022,Epoq,CAN,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,1.78,1.67,1.67,2.00,1.78,8.89,,,,,,
2022-WMUCC,2022,Esperanza UP Ultimate Club A.C.,VEN,,Ultimate,Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,2.00,2.20,2.10,2.10,2.00,10.40,,,,,,
2022-WMUCC,2022,FIGJAM,CAN,,Ultimate,Grand Master,Open/Men,U-G-M,,,9,,,,,,,,,,1.67,2.00,1.78,2.22,2.44,10.11,,,,,,
2022-WMUCC,2022,Flash,GBR,,Ultimate,Great Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.90,1.70,2.00,2.10,2.50,10.20,,,,,,
2022-WMUCC,2022,Fly High Lausanne,SUI,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,1.88,2.25,2.00,2.00,2.00,10.13,,,,,,
2022-WMUCC,2022,Frisbeurs Nantais,FRA,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,1.75,1.63,1.88,2.63,2.13,10.00,,,,,,
2022-WMUCC,2022,German Alltime Ultimate Lovers,GER,,Ultimate,Great Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.80,2.20,2.00,2.00,2.10,10.10,,,,,,
2022-WMUCC,2022,GOLD (Gentle-OLD),BEL,,Ultimate,Master,Open/Men,U-M-M,,,7,,,,,,,,,,1.29,1.86,1.71,2.14,2.14,9.14,,,,,,
2022-WMUCC,2022,Goldfingers Ultimate Club,GER,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,2.00,1.89,2.22,2.33,2.22,10.67,,,,,,
2022-WMUCC,2022,Grey Owl,CAN,,Ultimate,Grand Master,Mixed,U-G-X,,,8,,,,,,,,,,2.00,1.88,2.13,2.38,2.38,10.75,,,,,,
2022-WMUCC,2022,Guambats,GUM,,Ultimate,Master,Mixed,U-M-X,,,10,,,,,,,,,,1.70,1.90,1.90,2.30,2.20,10.00,,,,,,
2022-WMUCC,2022,Halal,COL,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,2.00,2.00,2.50,2.50,2.25,11.25,,,,,,
2022-WMUCC,2022,Handle with Care GMO,ISR,,Ultimate,Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.70,1.90,2.00,2.00,1.90,9.50,,,,,,
2022-WMUCC,2022,Handle with Care MX,ISR,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,1.75,1.88,2.13,2.38,2.25,10.38,,,,,,
2022-WMUCC,2022,Happy Campers,CAN,,Ultimate,Grand Master,Mixed,U-G-X,,,10,,,,,,,,,,2.00,2.00,2.40,2.60,2.30,11.30,,,,,,
2022-WMUCC,2022,Hardfisch,GER,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,2.00,1.89,2.22,2.67,2.22,11.00,,,,,,
2022-WMUCC,2022,Heidees (TV Eppelheim),GER,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,2.13,2.00,2.25,2.13,1.88,10.38,,,,,,
2022-WMUCC,2022,HiJinx,USA,,Ultimate,Grand Master,Mixed,U-G-X,,,9,,,,,,,,,,2.11,1.89,2.22,2.33,2.33,10.89,,,,,,
2022-WMUCC,2022,Iznogood,FRA,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,2.00,2.00,2.56,2.44,2.33,11.33,,,,,,
2022-WMUCC,2022,JETS,FRA,,Ultimate,Great Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.90,2.10,2.20,2.30,2.40,10.90,,,,,,
2022-WMUCC,2022,jinX,GER,,Ultimate,Master,Women,U-M-W,,,10,,,,,,,,,,2.20,2.10,2.30,2.70,2.50,11.80,,,,,,
2022-WMUCC,2022,Johnny Encore,USA,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,2.00,2.00,2.33,2.22,2.22,10.78,,,,,,
2022-WMUCC,2022,Johnny Walker,USA,,Ultimate,Grand Master,Open/Men,U-G-M,,,9,,,,,,,,,,2.00,1.78,2.22,2.33,2.00,10.33,,,,,,
2022-WMUCC,2022,Kalipso Master,COL,,Ultimate,Master,Women,U-M-W,,,10,,,,,,,,,,2.00,2.00,2.40,2.60,2.30,11.30,,,,,,
2022-WMUCC,2022,King Louie,USA,,Ultimate,Master,Open/Men,U-M-M,,,8,,,,,,,,,,2.13,1.88,2.00,2.25,2.00,10.25,,,,,,
2022-WMUCC,2022,Learning to Fly,IND,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,2.00,1.78,2.67,2.00,2.33,10.78,,,,,,
2022-WMUCC,2022,Les Culottées,FRA,,Ultimate,Master,Women,U-M-W,,,10,,,,,,,,,,2.00,1.70,2.10,2.10,2.40,10.30,,,,,,
2022-WMUCC,2022,LMU,GBR,,Ultimate,Master,Women,U-M-W,,,11,,,,,,,,,,1.73,1.91,2.45,2.45,2.18,10.73,,,,,,
2022-WMUCC,2022,Long Donkeys,RSA,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,1.78,1.89,1.67,2.33,2.22,9.89,,,,,,
2022-WMUCC,2022,lowercase,CAN,,Ultimate,Master,Women,U-M-W,,,11,,,,,,,,,,1.82,1.91,1.82,1.73,2.00,9.27,,,,,,
2022-WMUCC,2022,Magic toast,GBR,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,1.78,2.22,2.22,2.22,2.11,10.56,,,,,,
2022-WMUCC,2022,MaQramée,CAN,,Ultimate,Master,Women,U-M-W,,,10,,,,,,,,,,1.70,1.80,1.60,2.10,2.20,9.40,,,,,,
2022-WMUCC,2022,Masterclass,IRL,,Ultimate,Master,Women,U-M-W,,,18,,,,,,,,,,1.78,1.94,2.22,2.56,2.22,10.72,,,,,,
2022-WMUCC,2022,MasterClass,IRL,,Ultimate,Master,Women,U-M-W,,,18,,,,,,,,,,1.78,1.94,2.22,2.56,2.22,10.72,,,,,,
2022-WMUCC,2022,Max power,CAN,,Ultimate,Grand Master,Mixed,U-G-X,,,9,,,,,,,,,,2.00,2.00,2.44,2.11,2.11,10.67,,,,,,
2022-WMUCC,2022,MCP,GBR,,Ultimate,Master,Mixed,U-M-X,,,10,,,,,,,,,,1.90,2.10,2.20,2.20,2.50,10.90,,,,,,
2022-WMUCC,2022,Members Only,USA,,Ultimate,Master,Mixed,U-M-X,,,7,,,,,,,,,,2.00,2.00,2.43,2.14,2.29,10.86,,,,,,
2022-WMUCC,2022,Molasses Disaster,USA,,Ultimate,Grand Master,Mixed,U-G-X,,,8,,,,,,,,,,1.88,1.88,2.00,2.50,2.13,10.38,,,,,,
2022-WMUCC,2022,Molly Grey,USA,,Ultimate,Master,Women,U-M-W,,,11,,,,,,,,,,1.73,1.73,2.27,2.09,2.36,10.18,,,,,,
2022-WMUCC,2022,Mr Friz,FRA,,Ultimate,Master,Open/Men,U-M-M,,,7,,,,,,,,,,1.71,1.86,2.00,1.86,1.86,9.29,,,,,,
2022-WMUCC,2022,No Country,USA,,Ultimate,Great Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.80,1.90,2.00,2.50,2.10,10.30,,,,,,
2022-WMUCC,2022,NSOM,CAN,,Ultimate,Master,Open/Men,U-M-M,,,18,,,,,,,,,,2.00,2.06,2.33,2.33,2.22,10.94,,,,,,
2022-WMUCC,2022,Oida,AUT,,Ultimate,Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.90,1.80,2.40,2.40,2.20,10.70,,,,,,
2022-WMUCC,2022,Old #7,USA,,Ultimate,Master,Mixed,U-M-X,,,7,,,,,,,,,,2.14,2.00,2.14,2.43,2.57,11.29,,,,,,
2022-WMUCC,2022,Old Main Line Frankfurt,GER,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,1.89,1.89,2.00,2.33,2.22,10.33,,,,,,
2022-WMUCC,2022,Pacemaker,USA,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,2.00,1.78,2.22,2.44,2.22,10.67,,,,,,
2022-WMUCC,2022,Paixão,COL,,Ultimate,Master,Open/Men,U-M-M,,,8,,,,,,,,,,1.88,2.00,2.13,2.13,2.13,10.25,,,,,,
2022-WMUCC,2022,PDXtra,USA,,Ultimate,Master,Women,U-M-W,,,9,,,,,,,,,,1.89,1.89,2.22,2.44,2.11,10.56,,,,,,
2022-WMUCC,2022,Pie Wagon,AUS,,Ultimate,Master,Mixed,U-M-X,,,10,,,,,,,,,,2.00,2.20,2.60,2.50,2.50,11.80,,,,,,
2022-WMUCC,2022,PUC Ultimate,FRA,,Ultimate,Master,Mixed,U-M-X,,,7,,,,,,,,,,2.00,2.14,2.14,2.29,2.29,10.86,,,,,,
2022-WMUCC,2022,PUMAS,USA,,Ultimate,Master,Women,U-M-W,,,10,,,,,,,,,,1.80,1.80,2.30,2.10,2.20,10.20,,,,,,
2022-WMUCC,2022,Puyal India,IND,,Ultimate,Master,Open/Men,U-M-M,,,8,,,,,,,,,,2.13,1.88,2.13,2.75,2.63,11.50,,,,,,
2022-WMUCC,2022,QOLD,CAN,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,2.11,1.89,2.22,2.33,2.22,10.78,,,,,,
2022-WMUCC,2022,Quarantine,CAN,,Ultimate,Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.90,2.00,1.90,1.90,2.10,9.80,,,,,,
2022-WMUCC,2022,Ragings Bananas,FRA,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,1.78,1.56,2.22,2.33,2.11,10.00,,,,,,
2022-WMUCC,2022,Reading Ultimate,GBR,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,1.75,1.88,2.00,2.50,2.00,10.13,,,,,,
2022-WMUCC,2022,Reboot Squad,USA,,Ultimate,Master,Women,U-M-W,,,10,,,,,,,,,,1.80,1.90,1.80,2.40,2.20,10.10,,,,,,
2022-WMUCC,2022,Recycled,USA,,Ultimate,Great Grand Master,Open/Men,U-G-M,,,11,,,,,,,,,,1.82,1.73,1.82,2.36,2.27,10.00,,,,,,
2022-WMUCC,2022,Relics,USA,,Ultimate,Great Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.80,2.00,2.10,2.30,2.20,10.40,,,,,,
2022-WMUCC,2022,ReUnion,CAN,,Ultimate,Master,Mixed,U-M-X,,,7,,,,,,,,,,1.86,2.00,2.00,2.43,2.29,10.57,,,,,,
2022-WMUCC,2022,Ripe,USA,,Ultimate,Master,Women,U-M-W,,,10,,,,,,,,,,2.10,2.20,2.10,2.40,2.00,10.80,,,,,,
2022-WMUCC,2022,RJP,POL,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,1.78,2.00,2.22,2.56,2.11,10.67,,,,,,
2022-WMUCC,2022,Royal Stag,USA,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,2.00,1.78,2.00,2.11,2.22,10.11,,,,,,
2022-WMUCC,2022,Samsui,SGP,,Ultimate,Master,Women,U-M-W,,,9,,,,,,,,,,1.78,1.78,2.22,2.11,2.11,10.00,,,,,,
2022-WMUCC,2022,Seagulls,GER,,Ultimate,Master,Women,U-M-W,,,9,,,,,,,,,,2.00,1.78,2.00,2.33,2.11,10.22,,,,,,
2022-WMUCC,2022,SG Uncles,SGP,,Ultimate,Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.80,2.10,2.30,2.30,2.50,11.00,,,,,,
2022-WMUCC,2022,Shadows,USA,,Ultimate,Grand Master,Open/Men,U-G-M,,,9,,,,,,,,,,2.00,2.00,2.00,2.44,2.11,10.56,,,,,,
2022-WMUCC,2022,Silence,CZE,,Ultimate,Grand Master,Open/Men,U-G-M,,,9,,,,,,,,,,1.78,2.00,2.00,2.22,2.22,10.22,,,,,,
2022-WMUCC,2022,Skyline,SGP,,Ultimate,Master,Open/Men,U-M-M,,,8,,,,,,,,,,2.00,1.88,2.25,2.63,2.63,11.38,,,,,,
2022-WMUCC,2022,Slower,USA,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,1.63,1.88,1.75,1.75,2.25,9.25,,,,,,
2022-WMUCC,2022,Snowbirds,USA,,Ultimate,Master,Mixed,U-M-X,,,9,,,,,,,,,,1.78,2.11,2.56,2.67,2.44,11.56,,,,,,
2022-WMUCC,2022,Soar! *sore,USA,,Ultimate,Master,Women,U-M-W,,,11,,,,,,,,,,1.82,1.82,2.09,2.36,2.18,10.27,,,,,,
2022-WMUCC,2022,SOS,USA,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,1.88,2.00,2.38,2.50,2.13,10.88,,,,,,
2022-WMUCC,2022,SOUP,CAN,,Ultimate,Great Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.90,1.80,2.50,2.30,2.30,10.80,,,,,,
2022-WMUCC,2022,Southern Charm,USA,,Ultimate,Grand Master,Mixed,U-G-X,,,7,,,,,,,,,,1.57,2.00,2.00,2.14,1.86,9.57,,,,,,
2022-WMUCC,2022,Spanglish,VEN,,Ultimate,Master,Women,U-M-W,,,9,,,,,,,,,,2.00,1.78,2.00,2.00,2.33,10.11,,,,,,
2022-WMUCC,2022,Spätmix Cologne,GER,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,1.63,1.50,2.13,2.25,2.00,9.50,,,,,,
2022-WMUCC,2022,Status Quo,AUS,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,2.00,2.11,2.67,2.56,2.44,11.78,,,,,,
2022-WMUCC,2022,StellO,CAN,,Ultimate,Master,Women,U-M-W,,,9,,,,,,,,,,2.00,1.89,2.67,2.33,2.22,11.11,,,,,,
2022-WMUCC,2022,Still,CAN,,Ultimate,Master,Open/Men,U-M-M,,,8,,,,,,,,,,1.88,2.25,2.25,2.63,2.25,11.25,,,,,,
2022-WMUCC,2022,Sugar Mix,GER,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,1.75,1.75,2.00,2.13,2.25,9.88,,,,,,
2022-WMUCC,2022,Surly GGM,USA,,Ultimate,Great Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.90,1.80,2.10,2.30,2.20,10.30,,,,,,
2022-WMUCC,2022,Surly GM,USA,,Ultimate,Grand Master,Open/Men,U-G-M,,,9,,,,,,,,,,1.89,1.89,2.33,2.11,2.22,10.44,,,,,,
2022-WMUCC,2022,Surly GMX,USA,,Ultimate,Grand Master,Mixed,U-G-X,,,8,,,,,,,,,,1.88,2.13,2.25,2.25,2.38,10.88,,,,,,
2022-WMUCC,2022,Thundering Herd Masters,GBR,,Ultimate,Master,Mixed,U-M-X,,,8,,,,,,,,,,1.88,1.88,2.38,2.25,2.38,10.75,,,,,,
2022-WMUCC,2022,TOAST,CAN,,Ultimate,Great Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.90,2.10,2.40,2.50,2.10,11.00,,,,,,
2022-WMUCC,2022,Tombstone,CAN,,Ultimate,Grand Master,Open/Men,U-G-M,,,9,,,,,,,,,,2.11,2.00,2.00,2.22,2.56,10.89,,,,,,
2022-WMUCC,2022,Torontosaurus Rex,CAN,,Ultimate,Great Grand Master,Open/Men,U-G-M,,,10,,,,,,,,,,1.90,1.80,2.20,2.30,2.30,10.50,,,,,,
2022-WMUCC,2022,Urutau Ultimate Club,COL,,Ultimate,Master,Open/Men,U-M-M,,,7,,,,,,,,,,2.00,2.00,2.43,2.43,2.14,11.00,,,,,,
2022-WMUCC,2022,Voltron2020,USA,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,2.00,1.67,2.11,2.00,2.44,10.22,,,,,,
2022-WMUCC,2022,Warao Ultimate Turmero,VEN,,Ultimate,Master,Open/Men,U-M-M,,,9,,,,,,,,,,2.00,1.67,2.22,2.11,2.11,10.11,,,,,,
2022-WMUCC,2022,WIZARDS GRAND CRU,SUI,,Ultimate,Master,Open/Men,U-M-M,,,8,,,,,,,,,,2.00,2.00,2.13,2.75,2.13,11.00,,,,,,
2022-WMUCC,2022,Wolpertinger,GER,,Ultimate,Master,Open/Men,U-M-M,,,8,,,,,,,,,,2.13,2.13,2.50,2.50,2.63,11.88,,,,,,
2022-WMUCC,2022,Woodies,GER,,Ultimate,Grand Master,Mixed,U-G-X,,,7,,,,,,,,,,1.86,1.86,2.71,2.43,2.14,11.00,,,,,,
2022-WMUCC,2022,Woolly Mammoth,USA,,Ultimate,Master,Open/Men,U-M-M,,,8,,,,,,,,,,1.88,1.50,1.75,2.25,2.00,9.38,,,,,,
