Event,Division,game time,Date,Time,Field,Stage,Game Detail,Team,Country,Opponent,Opponent Country,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Att,Comm,Total
2022-WJUC,U20-M,22-08-10 09:00,2022-08-10,09:00,,,,GER U20 Open,GER,POL U20 Open,POL,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-10 15:00,2022-08-10,15:00,,,,GBR U20 Open,GBR,POL U20 Open,POL,,,,,,2,2,2,3,3,12
2022-WJUC,U20-M,22-08-12 13:00,2022-08-12,13:00,,,,CZE U20 Open,CZE,POL U20 Open,POL,,,,,,2,2,2,3,2,11
2022-WJUC,U20-M,22-08-07 11:00,2022-08-07,11:00,,,,GER U20 Open,GER,USA U20 Open,USA,,,,,,2,2,3,3,2,12
2022-WJUC,U20-M,22-08-07 17:00,2022-08-07,17:00,,,,COL U20 Open,COL,USA U20 Open,USA,,,,,,2,2,3,2,2,11
2022-WJUC,U20-M,22-08-08 11:00,2022-08-08,11:00,,,,FRA U20 Open,FRA,USA U20 Open,USA,,,,,,2,2,3,2,3,12
2022-WJUC,U20-M,22-08-08 17:00,2022-08-08,17:00,,,,GBR U20 Open,GBR,USA U20 Open,USA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-09 13:00,2022-08-09,13:00,,,,AUT U20 Open,AUT,USA U20 Open,USA,,,,,,2,3,2,3,3,13
2022-WJUC,U20-M,22-08-10 13:00,2022-08-10,13:00,,,,ITA U20 Open,ITA,USA U20 Open,USA,,,,,,2,2,2,3,3,12
2022-WJUC,U20-M,22-08-11 09:00,2022-08-11,09:00,,,,CAN U20 Open,CAN,USA U20 Open,USA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-12 11:00,2022-08-12,11:00,,,,ITA U20 Open,ITA,USA U20 Open,USA,,,,,,2,2,2,3,2,11
2022-WJUC,U20-M,22-08-13 09:00,2022-08-13,09:00,,,,FRA U20 Open,FRA,USA U20 Open,USA,,,,,,2,2,2,3,3,12
