Event,Name,Abbreviation,Year,Scope,Type,Surface,Host,Country,Start Date,End Date,Website
2010 WUCC,World Ultimate Club Championships,WUCC,2010,World,Club,Grass,Prague,CZE,2010-07-04,2010-07-10,
2008 WUGC,World Ultimate and Guts Championships,WUGC,2008,World,National,Grass,Vancouver,CAN,2008-08-02,2008-08-09,
2006 WUCC,World Ultimate Club Championships,WUCC,2006,World,Club,Grass,"Perth, WA",AUS,2006-11-11,2006-11-18,
2006 WJUC,World Junior Ultimate Championahips,WJUC,2006,World,National,Grass,"Devens, MA",USA,2006-08-13,2006-08-18,
2004 WUC,World Ultimate Championships,WUC,2004,World,National,Grass,Turku,FIN,2004-08-01,2004-08-07,
2003 EUC,European Ultimate Championships,EUC,2003,Europe,,Grass,Fontenay-le-Comte,FRA,2003-08-23,2003-08-30,
2002 WUCC,World Ultimate Club Championships,WUCC,2002,World,Club,Grass,"Honululu, HI",USA,2002-08-04,2002-08-10,
2002 WJUC,World Junior Ultimate Championahips,WJUC,2002,World,National,Grass,Riga,LAT,2002-07-10,2002-07-13,
2000 WUC,World Ultimate Championships,WUC,2000,World,National,Grass,Heilbronn,GER,2000-08-12,2000-08-20,
1999 WUCC,World Ultimate Club Championships,WUCC,1999,World,Club,Grass,St. Andrews,GBR,1999-08-12,1999-08-20,
1998 WUC,World Ultimate Championships,WUC,1998,World,National,Grass,"Blaine, MN",USA,1998-08-15,1998-08-22,
1997 WUCC,World Ultimate Club Championships,WUCC,1997,World,Club,Grass,Vancouver,CAN,1997-07-27,1997-08-02,
1996 WUC,World Ultimate Championships,WUC,1996,World,National,Grass,Jonköping,SWE,1996-08-10,1996-08-17,
1995 WUCC,World Ultimate Club Championships,WUCC,1995,World,Club,Grass,Millfield,GBR,1995-07-22,1995-07-29,
1994 WUC,World Ultimate Championships,WUC,1994,World,National,Grass,Colchester,GBR,1994-08-21,1994-08-28,
1993 WUCC,World Ultimate Club Championships,WUCC,1993,World,Club,Grass,"Madison, WI",USA,1993-07-24,1993-07-31,
1992 WUC,World Ultimate Championships,WUC,1992,World,National,Grass,Utsunomiya,JPN,1992-08-17,1992-08-23,
1991 WUCC,World Ultimate Club Championships,WUCC,1991,World,Club,Grass,Toronto,CAN,1991-07-22,1991-07-28,
1990 WUC,World Ultimate Championships,WUC,1990,World,National,Grass,Oslo,NOR,1990-07-08,1990-07-14,
1989 WUCC,World Ultimate Club Championships,WUCC,1989,World,Club,Grass,Cologne,GER,1989-07-26,1989-07-30,
1988 WUC,World Ultimate Championships,WUC,1988,World,National,Grass,Leuven,BEL,1988-08-29,1988-09-03,
1986 WUC,World Ultimate Championships,WUC,1986,World,National,Grass,Colchester,GBR,1986-08-25,1986-08-31,
1984 WUC,World Ultimate Championships,WUC,1984,World,National,Grass,Lucerne,SUI,1984-09-02,1984-09-09,
1983 WUC,World Ultimate Championships,WUC,1983,World,National,Grass,Gothenburg,SWE,1983-08-29,1983-09-03,
